GameDay,GameID,TeamID,Team,OpponentID,Opponent,Location,Division,Conference,Playoffs,WinOrLoss,PlayerType,MIN,PTS,FGM,FGA,3FM,3FA,FTM,FTA,REB,AST,STL,BLK,OREB,TO,PF
11/4/2024,1264785,475,Detroit,4000,ND1,H,,,,W,,192,91,34,69,7,26,16,21,0,19,6,2,18,9,0
11/4/2024,1264786,273,Louisiana Tech,4000,ND1,H,,,,W,,195,77,28,63,9,27,12,17,0,17,10,8,11,11,0
11/4/2024,1264788,476,Northwestern State,4000,ND1,H,,,,W,,193,96,31,62,10,27,24,28,0,15,13,6,11,8,0
11/4/2024,1264790,403,Grambling,4000,ND1,H,,,,W,,195,92,37,72,12,25,6,12,0,13,10,8,9,12,0
11/4/2024,1264791,576,Houston Christian,4000,ND1,H,,,,W,,194,86,31,70,9,35,15,24,0,14,11,4,11,8,0
11/4/2024,1264791,0,ND1,576,Houston Christian,V,,,,L,,197,59,24,61,4,15,7,15,33,12,6,3,4,13,0
11/4/2024,1264792,322,Northern Arizona,4000,ND1,H,,,,W,,193,100,37,71,10,29,16,22,0,16,13,2,14,7,0
11/4/2024,1264793,466,Missouri-Kansas City,4000,ND1,H,,,,W,,195,91,28,62,13,37,22,34,0,17,15,0,20,12,0
11/4/2024,1264795,487,Arkansas-Little Rock,4000,ND1,H,,,,W,,195,84,30,64,10,23,14,20,0,16,9,5,11,10,0
11/4/2024,1264797,308,Tennessee State,4000,ND1,H,,,,W,,196,96,34,66,9,31,19,25,0,25,2,3,17,13,0
11/4/2024,1265268,521,Buffalo,284,Old Dominion,V,,,,W,,194,83,32,57,10,22,9,17,0,17,9,6,5,13,0
11/4/2024,1265268,284,Old Dominion,521,Buffalo,H,,,,L,,196,82,33,77,12,30,4,8,0,15,9,4,17,14,0
11/4/2024,1265569,356,Maryland-Baltimore County,4000,ND1,H,,,,W,,192,95,34,74,10,28,17,29,0,13,4,4,15,7,0
11/4/2024,1265569,0,ND1,356,Maryland-Baltimore County,V,,,,L,,194,66,21,68,4,15,20,27,41,3,3,4,12,11,0
11/4/2024,1265570,458,East Tennessee State,4000,ND1,H,,,,W,,194,72,30,71,6,27,6,11,0,14,12,9,11,13,0
11/4/2024,1265571,288,Morgan State,4000,ND1,H,,,,W,,191,89,35,61,5,8,14,20,0,10,7,1,8,16,0
11/4/2024,1265574,533,Norfolk State,4000,ND1,H,,,,W,,194,96,35,63,7,21,19,21,0,24,14,4,7,9,0
11/4/2024,1265576,423,Wyoming,4000,ND1,H,,,,W,,196,108,45,84,6,21,12,19,0,19,9,3,16,8,0
11/4/2024,1265675,522,College of Charleston,400,Southern Illinois,N,,,,W,,195,90,31,55,9,20,19,30,0,17,3,4,5,15,0
11/4/2024,1265675,400,Southern Illinois,522,College of Charleston,N,,,,L,,196,80,25,62,5,21,25,33,0,12,11,1,9,9,0
11/4/2024,1265676,282,Texas-Arlington,4000,ND1,H,,,,W,,195,90,33,71,9,26,15,21,0,16,13,4,11,11,0
11/4/2024,1265676,0,ND1,282,Texas-Arlington,V,,,,L,,196,55,21,72,5,14,8,12,38,5,8,4,13,18,0
11/4/2024,1265677,276,Middle Tennessee,4000,ND1,H,,,,W,,191,97,37,70,9,24,14,24,0,16,10,7,13,7,0
11/4/2024,1265677,0,ND1,276,Middle Tennessee,V,,,,L,,194,51,16,55,3,20,16,23,25,6,4,1,2,14,0
11/4/2024,1265678,532,Wofford,4000,ND1,H,,,,W,,195,112,44,92,15,51,9,17,0,31,18,0,25,11,0
